7.5	0
8.4	0
8.4	0
7.4	0
6	0
7.5	0
5.3	0
7	0
7.3	0
5.6	0
5.5	0
6.3	0
6.1	0
5.8	0
5.5	0
6.9	0
7.5	0
6	0
6.9	0
5.9	0
7.3	0
7.5	0
6.9	0
8.2	0
8.2	0
5.4	0
6.2	0
5.2	0
5.9	0
6.3	0
5.8	0
6.8	0
7.1	0
7.7	0.01
6.6	22.34
7.6	48.53
7.1	66.43
6.5	123
7.7	185.35
7	279.07
7	398.51
5.1	497.42
6.1	603.3
6.2	648.56
4.4	735.86
5	781.58
6.5	903.76
5.7	886.22
6.3	925.26
6	913.1
5.5	925.11
6.6	884.76
6.2	821.27
5.6	756.18
6.6	755.45
6.3	683.17
6.5	634.43
5.6	589.37
5.7	526.09
6.1	475.54
6.3	414.26
5.7	347.95
6.3	304.48
5.8	256.74
6.5	226.12
5.6	151.35
4.4	102.46
5.5	68.46
5.9	41.98
5.5	13.66
5.2	0
5.1	0
4.7	0
6.7	0
4.3	0
6	0
6.2	0
6.1	0
6.8	0
4.7	0
5.6	0
4.6	0
4.7	0
5.4	0
6.9	0
4.8	0
6.5	0
6.4	0
6.3	0
6.1	0
5.7	0
6.5	0
6	0
6.5	0
6.9	0
6.6	0
