7.566666667,7.5,0
7.473333333,8.4,0
7.066666667,8.4,0
6.866666667,7.4,0
6.72,6,0
5.9,7.5,0
6.013333333,5.3,0
5.6,7,0
5.953333333,7.3,0
5.92,5.6,0
5.68,5.5,0
5.546666667,6.3,0
4.346666667,6.1,0
4.286666667,5.8,0
5.233333333,5.5,0
5.593333333,6.9,0
3.826666667,7.5,0
3.573333333,6,0
3.86,6.9,0
4.353333333,5.9,0
4.373333333,7.3,0
3.78,7.5,0
3.393333333,6.9,0
3.113333333,8.2,0
2.546666667,8.2,0
2.066666667,5.4,0
1.586666667,6.2,0
1.473333333,5.2,0
2.073333333,5.9,0
2.053333333,6.3,0
2.733333333,5.8,0
3.14,6.8,0
3.013333333,7.1,0
2.413333333,7.7,0.01
2.94,6.6,22.34
4.173333333,7.6,48.53
4.26,7.1,66.43
4.473333333,6.5,123
4.38,7.7,185.35
3.686666667,7,279.07
3.926666667,7,398.51
3.886666667,5.1,497.42
4.866666667,6.1,603.3
5.873333333,6.2,648.56
7.233333333,4.4,735.86
6.38,5,781.58
6.64,6.5,903.76
6.413333333,5.7,886.22
6.086666667,6.3,925.26
5.566666667,6,913.1
5.8,5.5,925.11
6.626666667,6.6,884.76
6.826666667,6.2,821.27
7.22,5.6,756.18
6.766666667,6.6,755.45
7.246666667,6.3,683.17
6.993333333,6.5,634.43
6.913333333,5.6,589.37
7.126666667,5.7,526.09
6.46,6.1,475.54
6.586666667,6.3,414.26
7.246666667,5.7,347.95
6.366666667,6.3,304.48
5.88,5.8,256.74
5.426666667,6.5,226.12
6.173333333,5.6,151.35
6.186666667,4.4,102.46
6.14,5.5,68.46
7.193333333,5.9,41.98
7.62,5.5,13.66
6.846666667,5.2,0
6.693333333,5.1,0
7.786666667,4.7,0
7.86,6.7,0
8.44,4.3,0
8.466666667,6,0
8.793333333,6.2,0
8.806666667,6.1,0
7.84,6.8,0
7.666666667,4.7,0
8.166666667,5.6,0
8.16,4.6,0
8.006666667,4.7,0
7.806666667,5.4,0
7.186666667,6.9,0
7.546666667,4.8,0
9.073333333,6.5,0
8.4,6.4,0
7.966666667,6.3,0
8.386666667,6.1,0
9.1,5.7,0
8.82,6.5,0
8.66,6,0
7.46,6.5,0
7.82,6.9,0
9.153333333,6.6,0
9.006666667,6.3,0
8.6,6.6,0
10.00666667,6.9,0
9.546666667,6,0
9.52,7.2,0
9.54,5.7,0
9.24,6.1,0
10.22,6.9,0
9.32,7.6,0
10.00666667,7.1,0
10.54,6.1,0
11.28,6.9,0
10.8,6.8,0
9.473333333,5.7,0
10.06,6.9,0
9.506666667,7,0
10.27333333,7.8,0
9.986666667,7.6,0
10.46666667,7.2,0
9.373333333,7.4,0
7.946666667,6,0
8.14,7.1,0
8.613333333,5.7,0
7.673333333,8.1,0
7.146666667,6.1,0
6.26,6.7,0
6.993333333,6.3,0
7.46,5.9,0
9.06,7.1,0
9.066666667,7.7,0
10.21333333,7.4,0
10.39333333,6.6,0
10.59333333,5.8,0
10.54,7.6,0.16
9.166666667,8.6,12.56
9.88,7.1,20.75
9.96,6.5,24.96
10.14,7.8,35.98
10.82,8.7,58.03
9.72,6.7,87.49
8.78,7.9,111.26
8.666666667,6.9,133.64
8.453333333,7.3,151.38
7.746666667,4.9,144.38
7.493333333,7.8,163.56
7.28,6.8,175.65
6.04,6.4,191.75
6.706666667,7.1,193.59
7.413333333,7.2,189.46
7.373333333,6.7,190.85
7.56,6,199.6
7.58,6.3,186.83
7.44,7.6,177.87
6.34,7.2,172
6.613333333,6.5,185.06
5.953333333,7,174.39
7.253333333,6.7,185.9
6.913333333,7.1,183.13
6.28,7.9,178.14
5.113333333,7.9,188.18
4.606666667,6.7,172.98
3.726666667,6.6,147.4
2.706666667,7.8,141.45
4.02,6.4,111.44
5.04,7.3,90.35
4.966666667,7.4,76.55
5.2,7,60.05
4.82,8.1,45.81
